epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,420.718,1.78649,1.77014,1.26531,0.90421,0.79318,0.88673,0.47959,1.43674,1.10736,1.09186,0.000552545,0.000552545,0.000552545
2,776.414,1.36267,0.96769,1.03874,0.93132,0.86991,0.95128,0.5474,1.36458,0.87772,1.05045,0.000998499,0.000998499,0.000998499
3,1154.89,1.22791,0.8105,0.98413,0.96484,0.91052,0.9751,0.63422,1.1578,0.72831,0.9687,0.00133443,0.00133443,0.00133443
4,1555.37,1.12674,0.70396,0.95232,0.969,0.9373,0.98451,0.6807,1.05452,0.62273,0.93719,0.0011719,0.0011719,0.0011719
5,1905.4,1.00957,0.61174,0.91761,0.96522,0.94435,0.98204,0.68822,1.04034,0.5754,0.92885,0.00100687,0.00100687,0.00100687
6,2262.24,0.91182,0.54987,0.89123,0.97807,0.96044,0.99143,0.75901,0.84195,0.48499,0.87759,0.000841835,0.000841835,0.000841835
7,2616.25,0.83882,0.50235,0.87313,0.98283,0.96851,0.99233,0.79552,0.74379,0.44624,0.85541,0.000676802,0.000676802,0.000676802
8,3017.69,0.77635,0.47158,0.8597,0.98462,0.97428,0.99317,0.80791,0.71498,0.42063,0.84834,0.000511769,0.000511769,0.000511769
9,3444.96,0.71675,0.44266,0.84645,0.98875,0.97693,0.99371,0.83669,0.63452,0.39255,0.83038,0.000346736,0.000346736,0.000346736
10,3852.11,0.66257,0.41854,0.83664,0.98812,0.97807,0.99372,0.84627,0.60822,0.3772,0.82527,0.000181703,0.000181703,0.000181703
