epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2575.17,1.48286,1.28861,1.10189,0.9448,0.92659,0.96074,0.67108,1.13372,44.1133,0.98295,0.000554896,0.000554896,0.000554896
2,5189.4,1.07823,0.66869,0.94771,0.95694,0.95174,0.97569,0.74133,0.93758,49.8994,0.91283,0.00105559,0.00105559,0.00105559
3,7825.99,0.95754,0.57875,0.91529,0.95943,0.95672,0.97939,0.77578,0.82169,45.1216,0.88014,0.00150127,0.00150127,0.00150127
4,10441.7,0.89161,0.53556,0.89767,0.94502,0.95292,0.98592,0.79854,0.77562,53.2252,0.86631,0.00141945,0.00141945,0.00141945
5,13074.5,0.82604,0.49243,0.88125,0.97399,0.97703,0.99222,0.84179,0.65352,43.1277,0.83369,0.00133693,0.00133693,0.00133693
6,15614,0.78424,0.46941,0.87238,0.98073,0.9737,0.99282,0.85494,0.63013,1.29637,0.82997,0.00125442,0.00125442,0.00125442
7,18301.8,0.74717,0.45266,0.86355,0.98473,0.97453,0.99319,0.86641,0.58258,4.69435,0.81623,0.0011719,0.0011719,0.0011719
8,21428.8,0.71391,0.42977,0.85575,0.91004,0.93095,0.98324,0.84282,0.62136,1.28641,0.82492,0.00108938,0.00108938,0.00108938
9,24548,0.68886,0.41353,0.84997,0.98383,0.98784,0.99387,0.87992,0.55798,4.39963,0.81177,0.00100687,0.00100687,0.00100687
10,27613.3,0.66409,0.39998,0.84503,0.97514,0.98505,0.9934,0.88549,0.5287,0.52433,0.80452,0.000924352,0.000924352,0.000924352
11,29835.9,0.58812,0.3604,0.8302,0.97707,0.97644,0.99132,0.89739,0.49525,0.6019,0.79757,0.000841835,0.000841835,0.000841835
12,32077.9,0.55105,0.33864,0.82301,0.99378,0.9905,0.9941,0.90759,0.47162,0.44128,0.79257,0.000759318,0.000759318,0.000759318
13,34239.3,0.5239,0.32584,0.81716,0.9783,0.9791,0.98758,0.91144,0.44451,0.68588,0.78755,0.000676802,0.000676802,0.000676802
14,36389.6,0.50764,0.31274,0.81369,0.99429,0.99193,0.99416,0.92428,0.42157,0.56142,0.78342,0.000594286,0.000594286,0.000594286
15,38624.7,0.48225,0.30005,0.80918,0.99473,0.99262,0.99432,0.92487,0.41998,0.30176,0.78214,0.000511769,0.000511769,0.000511769
16,40826.2,0.46166,0.28937,0.80488,0.9945,0.99215,0.9943,0.93714,0.38252,0.28511,0.77494,0.000429253,0.000429253,0.000429253
17,43022.9,0.44155,0.27885,0.80165,0.99563,0.99418,0.99429,0.94085,0.37905,0.28504,0.77472,0.000346736,0.000346736,0.000346736
18,45187.7,0.42514,0.26951,0.79907,0.99596,0.995,0.99441,0.94714,0.35768,0.26481,0.77058,0.00026422,0.00026422,0.00026422
19,47330,0.40764,0.26167,0.79624,0.99631,0.99485,0.99437,0.94693,0.358,0.26318,0.7709,0.000181703,0.000181703,0.000181703
