epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,721.542,1.45683,1.96294,1.10312,0.49637,0.30566,0.3075,0.17521,1.31468,1.26427,1.04742,0.000276926,0.000276926,0.000276926
2,1549.93,1.31226,1.24674,1.06501,0.46367,0.43034,0.40866,0.22957,1.29462,1.17357,1.06254,0.00051799,0.00051799,0.00051799
3,2312.3,1.27444,1.09586,1.05445,0.47078,0.47402,0.45472,0.26536,1.22262,1.01532,1.03672,0.000722401,0.000722401,0.000722401
4,3095.03,1.23158,1.01075,1.04469,0.57177,0.48741,0.52801,0.31186,1.18952,0.93757,1.0294,0.000668066,0.000668066,0.000668066
5,3834.64,1.18533,0.92489,1.02779,0.62656,0.49286,0.54116,0.3187,1.16331,0.88725,1.02445,0.000613088,0.000613088,0.000613088
6,4572.75,1.18104,0.91569,1.0302,0.66036,0.49762,0.55603,0.33284,1.18515,0.88431,1.03613,0.00055811,0.00055811,0.00055811
7,5256.37,1.1419,0.84705,1.01523,0.66989,0.54501,0.58833,0.35293,1.14251,0.83827,1.01345,0.000503132,0.000503132,0.000503132
8,5979.72,1.11612,0.80941,1.006,0.69156,0.56317,0.62977,0.38007,1.12513,0.80922,1.00685,0.000448154,0.000448154,0.000448154
9,6659.06,1.08862,0.77588,0.99375,0.66118,0.60285,0.64241,0.39971,1.08736,0.77273,0.99197,0.000393176,0.000393176,0.000393176
10,7357.77,1.0623,0.74068,0.98471,0.75188,0.58415,0.66701,0.41816,1.06783,0.74836,0.98512,0.000338198,0.000338198,0.000338198
11,8077,1.03584,0.71437,0.97506,0.70433,0.60738,0.66987,0.41979,1.04791,0.72428,0.9802,0.00028322,0.00028322,0.00028322
12,8767.79,1.00935,0.68752,0.96622,0.71882,0.64515,0.68723,0.43642,1.03472,0.70721,0.96887,0.000228242,0.000228242,0.000228242
13,9475.64,0.986,0.66354,0.95638,0.7707,0.62146,0.69903,0.45273,1.02113,0.69687,0.9728,0.000173264,0.000173264,0.000173264
14,10184,0.95812,0.63948,0.9467,0.75458,0.64556,0.71514,0.46075,0.99509,0.67076,0.9599,0.000118286,0.000118286,0.000118286
15,10878.5,0.93576,0.62234,0.93925,0.75498,0.68059,0.7284,0.47919,0.97669,0.65898,0.95402,6.3308e-05,6.3308e-05,6.3308e-05
