epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3553.38,1.42682,1.30843,1.07857,0.94601,0.95894,0.96635,0.69441,1.02938,53.5382,0.94709,0.000554645,0.000554645,0.000554645
2,7036.61,0.98635,0.61722,0.92099,0.9608,0.97116,0.9847,0.78277,0.75702,60.6388,0.8557,0.00105535,0.00105535,0.00105535
3,9548.77,0.87002,0.54042,0.89117,0.87507,0.97882,0.98864,0.80793,0.69575,56.1968,0.84052,0.00150105,0.00150105,0.00150105
4,11997.9,0.79915,0.49505,0.87468,0.97108,0.97188,0.99237,0.84359,0.60416,19.4502,0.81949,0.00141945,0.00141945,0.00141945
5,14602.4,0.74817,0.46433,0.86153,0.98054,0.97648,0.99338,0.8569,0.57333,18.1322,0.81262,0.00133693,0.00133693,0.00133693
6,16893.4,0.69546,0.437,0.85073,0.98437,0.98272,0.99329,0.87641,0.50802,3.44629,0.79623,0.00125442,0.00125442,0.00125442
7,19360.7,0.66182,0.41289,0.84398,0.98651,0.98736,0.99384,0.88509,0.4969,1.43008,0.79603,0.0011719,0.0011719,0.0011719
8,21968,0.62545,0.39295,0.83739,0.97802,0.97956,0.99078,0.88767,0.47915,2.19683,0.79075,0.00108938,0.00108938,0.00108938
9,24281,0.60556,0.38236,0.83339,0.98768,0.98846,0.99409,0.90243,0.43769,0.58051,0.78398,0.00100687,0.00100687,0.00100687
10,26818,0.58739,0.36715,0.82956,0.99166,0.99153,0.99422,0.90364,0.43578,0.48362,0.78194,0.000924352,0.000924352,0.000924352
11,28683.3,0.51908,0.3409,0.8177,0.99579,0.99455,0.99429,0.91326,0.42007,19.3053,0.78128,0.000841835,0.000841835,0.000841835
12,30513.7,0.48431,0.31268,0.81022,0.99082,0.9924,0.99427,0.92608,0.38132,0.50157,0.77272,0.000759318,0.000759318,0.000759318
13,32366,0.45797,0.29798,0.80501,0.99771,0.99802,0.9943,0.92875,0.38545,0.50836,0.77376,0.000676802,0.000676802,0.000676802
14,34200.7,0.43777,0.27859,0.8021,0.99564,0.99516,0.99426,0.94488,0.33568,0.62711,0.76479,0.000594286,0.000594286,0.000594286
15,36034.2,0.42,0.27268,0.79848,0.998,0.99751,0.99439,0.94149,0.35102,0.34245,0.76809,0.000511769,0.000511769,0.000511769
16,37596.7,0.3971,0.25726,0.79507,0.998,0.99743,0.99441,0.95058,0.32523,0.37104,0.76264,0.000429253,0.000429253,0.000429253
17,39462.8,0.37961,0.25154,0.79243,0.99802,0.9982,0.99438,0.95156,0.31899,0.33998,0.76222,0.000346736,0.000346736,0.000346736
18,41334.2,0.36346,0.24321,0.78958,0.98317,0.98242,0.99364,0.95829,0.29693,0.32478,0.75832,0.00026422,0.00026422,0.00026422
19,43172.8,0.34762,0.23487,0.78763,0.99827,0.99812,0.9944,0.96293,0.29301,0.26607,0.75856,0.000181703,0.000181703,0.000181703
20,45000.3,0.3348,0.22869,0.78594,0.99812,0.99801,0.99441,0.96654,0.2783,0.25648,0.75539,9.91865e-05,9.91865e-05,9.91865e-05
